"x","lx","cohort"
14,97699.0724509286,1969
15,97656.2761101652,1969
16,97621.5671218389,1969
17,97552.4336154816,1969
18,97467.9946400115,1969
19,97386.5683630643,1969
20,97263.1649563111,1969
21,97187.1465952478,1969
22,97087.9325667121,1969
23,96970.7795649465,1969
24,96893.0355781968,1969
25,96790.0026933548,1969
26,96707.9858518755,1969
27,96621.6016485913,1969
28,96523.1918996955,1969
29,96417.4380147925,1969
30,96337.0607246254,1969
31,96239.2168004899,1969
32,96158.9588109522,1969
33,96068.7721454427,1969
34,95953.4066197107,1969
35,95867.9947521267,1969
36,95777.5437968267,1969
37,95656.9817791309,1969
38,95541.5835604264,1969
39,95444.1169700125,1969
40,95292.44964751,1969
41,95158.2668001912,1969
42,95019.2886720684,1969
43,94867.6631449703,1969
44,94716.1789970512,1969
45,94544.9587662746,1969
46,94319.9626776792,1969
47,94113.2706406582,1969
48,93926.8433802881,1969
49,93679.4437482206,1969
50,93476.2581467932,1969
51,93182.4270105466,1969
52,92920.5985778382,1969
0,1e+05,1970
1,98308.2889061389,1970
2,98196.3511711541,1970
3,98120.1240311459,1970
4,98054.9503841367,1970
5,98011.4831921909,1970
6,97978.8045738286,1970
7,97943.4433576051,1970
8,97910.8306293145,1970
9,97867.4685803505,1970
10,97840.4224526295,1970
11,97826.9099595249,1970
12,97810.6969116553,1970
13,97797.1821778187,1970
14,97775.5717497619,1970
15,97756.6878345637,1970
16,97708.2500467815,1970
17,97630.619859391,1970
18,97566.6151022598,1970
19,97468.114496734,1970
20,97382.9882799642,1970
21,97287.7089091648,1970
22,97184.8209379079,1970
23,97111.450451899,1970
24,97038.4998925672,1970
25,96945.0601038607,1970
26,96844.8072745627,1970
27,96735.0170337773,1970
28,96661.3405697681,1970
29,96554.7926862476,1970
30,96468.558462595,1970
31,96369.8565152578,1970
32,96288.986300336,1970
33,96215.688048392,1970
34,96114.6428640848,1970
35,96031.1744946269,1970
36,95955.257465963,1970
37,95838.9966647292,1970
38,95750.9366915601,1970
39,95628.3475209884,1970
40,95488.3167256524,1970
41,95355.7828228163,1970
42,95260.8297239788,1970
43,95098.7563297882,1970
44,94961.8001798117,1970
45,94775.4887958635,1970
46,94587.6496878312,1970
47,94385.6343666255,1970
48,94146.8420720159,1970
49,93890.9513203816,1970
50,93652.2296647412,1970
51,93421.1131896664,1970
0,1e+05,1971
1,98460.4117670041,1971
2,98388.7081150822,1971
3,98317.0604081933,1971
4,98281.2001262053,1971
5,98237.5215348057,1971
6,98188.7833560927,1971
7,98165.7507944178,1971
8,98140.1908239861,1971
9,98101.9458235802,1971
10,98056.0716746072,1971
11,98038.2349633796,1971
12,98012.7437973273,1971
13,97994.911417971,1971
14,97956.7409023909,1971
15,97921.1415830863,1971
16,97888.1789210033,1971
17,97830.0231031449,1971
18,97787.1635431298,1971
19,97719.2256686858,1971
20,97648.8307049555,1971
21,97566.2347013779,1971
22,97474.0079303883,1971
23,97416.9617265848,1971
24,97332.8874138016,1971
25,97254.3003071602,1971
26,97169.0345491878,1971
27,97103.4892539985,1971
28,97008.9995514091,1971
29,96941.1194222845,1971
30,96858.837632375,1971
31,96771.6648805313,1971
32,96672.3733752633,1971
33,96575.526103805,1971
34,96459.1958745652,1971
35,96367.0106594601,1971
36,96267.7484448381,1971
37,96147.0975490451,1971
38,96046.222444154,1971
39,95907.1438973933,1971
40,95765.9837800231,1971
41,95650.9336575152,1971
42,95507.271313116,1971
43,95342.3654750494,1971
44,95201.8789832667,1971
45,95014.9188089736,1971
46,94885.0712293349,1971
47,94698.8986154376,1971
48,94510.6129429155,1971
49,94282.2544445907,1971
50,94046.8999034895,1971
0,1e+05,1972
1,98542.2913588571,1972
2,98441.8460232532,1972
3,98367.1758255997,1972
4,98305.2256504733,1972
5,98269.140690834,1972
6,98238.261459355,1972
7,98217.6896602015,1972
8,98197.1341891455,1972
9,98158.6004651635,1972
10,98138.0408592898,1972
11,98117.4800042604,1972
12,98099.5029026436,1972
13,98066.1430918472,1972
14,98022.5788459087,1972
15,97984.219319821,1972
16,97938.3416187907,1972
17,97902.7358152456,1972
18,97839.3047309753,1972
19,97748.2608711362,1972
20,97670.0184306579,1972
21,97572.0362340702,1972
22,97499.517871304,1972
23,97399.8328933959,1972
24,97311.0148177537,1972
25,97210.4203086893,1972
26,97129.7416178202,1972
27,97032.1843151036,1972
28,96944.6569963581,1972
29,96859.6007538112,1972
30,96791.7180859783,1972
31,96721.4556154325,1972
32,96617.1988280347,1972
33,96539.5407012041,1972
34,96461.7750561363,1972
35,96357.3242359268,1972
36,96289.5776016596,1972
37,96171.6342064202,1972
38,96065.8122442876,1972
39,95960.2263626961,1972
40,95837.7633838237,1972
41,95710.6274874498,1972
42,95610.114853757,1972
43,95510.2056796333,1972
44,95394.2517415194,1972
45,95255.0219511606,1972
46,95113.717182846,1972
47,94956.1700909669,1972
48,94777.3009522634,1972
49,94577.6206562283,1972
0,1e+05,1973
1,98706.8068690015,1973
2,98601.4153582207,1973
3,98552.5810732316,1973
4,98492.9976020102,1973
5,98460.5634262373,1973
6,98428.2067924429,1973
7,98382.4372767607,1973
8,98344.737460804,1973
9,98307.0025351623,1973
10,98285.4329844285,1973
11,98269.255524014,1973
12,98253.0894407528,1973
13,98228.8759657926,1973
14,98196.6478603675,1973
15,98180.5806559861,1973
16,98159.2293523461,1973
17,98129.9371758119,1973
18,98079.4918516599,1973
19,98002.8753435163,1973
20,97899.9117992322,1973
21,97797.4263835403,1973
22,97718.9567624607,1973
23,97633.2876866755,1973
24,97555.9182162971,1973
25,97455.8715289143,1973
26,97358.8115679174,1973
27,97277.2785927847,1973
28,97200.9552953496,1973
29,97132.4233595498,1973
30,97035.9249640361,1973
31,96929.0872480658,1973
32,96852.7623715445,1973
33,96756.1122772016,1973
34,96682.4593427149,1973
35,96591.49974023,1973
36,96478.3411852962,1973
37,96375.4038358719,1973
38,96252.5659891515,1973
39,96174.867420497,1973
40,96069.6909875708,1973
41,95949.8455153689,1973
42,95835.4638460446,1973
43,95734.0612134907,1973
44,95605.6579420713,1973
45,95482.4561570611,1973
46,95320.1377373588,1973
47,95145.4610008146,1973
48,94978.1952433027,1973
0,1e+05,1974
1,98772.0643489544,1974
2,98678.9217743479,1974
3,98596.8638996112,1974
4,98547.7593498114,1974
5,98512.3611938297,1974
6,98474.349414148,1974
7,98452.645314445,1974
8,98430.9102673937,1974
9,98411.8756459327,1974
10,98384.7018679437,1974
11,98341.2678385484,1974
12,98316.8680482317,1974
13,98303.3475170673,1974
14,98287.1625125816,1974
15,98265.6160181957,1974
16,98238.7814712212,1974
17,98195.953100489,1974
18,98142.5419330268,1974
19,98076.2840431111,1974
20,97996.7503116258,1974
21,97925.3977296747,1974
22,97818.0414313485,1974
23,97747.7265608987,1974
24,97677.928695652,1974
25,97608.374349605,1974
26,97505.5736223496,1974
27,97436.4053654329,1974
28,97357.1255724793,1974
29,97270.1902587845,1974
30,97208.8159572196,1974
31,97134.3687996659,1974
32,97054.7593519584,1974
33,96972.7020347552,1974
34,96855.4075990955,1974
35,96769.1460769235,1974
36,96718.4543602163,1974
37,96637.6132981766,1974
38,96536.6342773905,1974
39,96455.9845173258,1974
40,96348.0384636871,1974
41,96235.6544629915,1974
42,96109.1581841416,1974
43,95985.7579398654,1974
44,95857.6500886685,1974
45,95727.3487766189,1974
46,95557.8408378604,1974
47,95413.0093200613,1974
0,1e+05,1975
1,98777.3989348945,1975
2,98682.7293643826,1975
3,98642.226772921,1975
4,98599.118834436,1975
5,98580.295054904,1975
6,98550.7430688081,1975
7,98518.4535292666,1975
8,98480.7789733867,1975
9,98456.5423568857,1975
10,98435.0102704209,1975
11,98410.8281312162,1975
12,98365.2255872546,1975
13,98354.5214109334,1975
14,98335.8323448088,1975
15,98301.150821428,1975
16,98282.5365687286,1975
17,98218.9236732509,1975
18,98160.8708603681,1975
19,98087.3281724833,1975
20,97990.1591521028,1975
21,97898.8510082736,1975
22,97846.9861706271,1975
23,97797.9437765724,1975
24,97726.0949796392,1975
